previous-campaign,subscribed,age,education,default,balance,current-campaign,job,marital,housing-loan,personal-loan
4,no,33,secondary,no,4789,1,services,married,yes,yes
1,no,35,tertiary,no,1350,1,management,single,yes,no
3,no,35,tertiary,no,747,2,management,single,no,no
2,no,36,tertiary,no,307,1,self-employed,married,yes,no
2,no,43,primary,no,-88,1,services,married,yes,yes
1,no,31,secondary,no,360,1,blue-collar,married,yes,yes
2,no,37,tertiary,no,2317,1,admin.,single,yes,no
1,no,31,secondary,no,132,1,services,married,no,no
2,no,67,unknown,no,696,1,retired,married,no,no
2,yes,33,secondary,no,3935,1,management,married,yes,no
3,no,38,tertiary,no,11971,2,management,single,yes,no
2,no,55,primary,no,145,3,blue-collar,married,no,no
1,yes,61,unknown,no,4629,1,admin.,married,yes,no
1,yes,34,tertiary,no,1539,1,technician,married,yes,no
5,no,51,secondary,no,203,1,blue-collar,divorced,yes,no
3,yes,37,tertiary,no,0,2,management,married,no,no
1,no,41,secondary,no,174,2,blue-collar,divorced,yes,no
1,no,40,secondary,no,219,2,unemployed,married,yes,no
2,yes,52,secondary,no,657,2,services,married,no,no
20,no,30,tertiary,no,261,1,admin.,single,no,no
1,no,36,secondary,no,2843,1,blue-collar,divorced,no,no
7,no,38,tertiary,no,493,1,management,single,yes,no
3,no,32,tertiary,no,574,2,management,single,yes,no
3,yes,21,secondary,no,2488,6,student,single,no,no
1,no,33,secondary,no,22,2,blue-collar,single,no,no
6,no,51,tertiary,yes,-55,2,management,single,yes,no
3,no,32,secondary,no,228,1,blue-collar,single,no,no
2,no,48,unknown,no,0,1,admin.,married,yes,no
2,no,29,secondary,no,428,1,admin.,single,yes,yes
1,no,46,secondary,no,179,4,admin.,married,yes,no
2,yes,55,secondary,no,602,3,admin.,married,no,no
3,no,55,secondary,no,273,3,technician,married,yes,no
2,yes,28,tertiary,no,80,2,management,single,no,no
4,no,40,secondary,no,462,1,admin.,single,yes,yes
1,no,37,secondary,no,176,2,admin.,married,yes,no
1,no,37,tertiary,no,0,2,admin.,married,yes,no
4,no,34,tertiary,no,899,3,admin.,married,yes,no
2,no,37,secondary,no,21,1,services,single,yes,no
1,no,36,secondary,no,23,2,technician,married,yes,no
2,yes,75,secondary,no,3771,1,retired,married,no,no
2,no,34,tertiary,no,992,1,technician,single,yes,no
3,yes,35,tertiary,no,2658,2,technician,single,yes,no
1,no,39,tertiary,no,1315,4,management,divorced,yes,no
1,no,29,secondary,no,1599,1,technician,married,yes,no
1,no,38,secondary,no,-196,1,services,single,yes,no
1,no,38,tertiary,no,432,2,technician,married,yes,no
2,no,30,secondary,no,975,2,blue-collar,married,yes,no
1,no,33,secondary,no,359,1,technician,married,yes,no
6,no,35,tertiary,no,0,1,technician,married,yes,yes
10,no,44,secondary,no,33,3,technician,single,yes,no
5,no,45,secondary,no,0,2,blue-collar,single,yes,no
2,no,33,secondary,no,3576,1,blue-collar,married,yes,no
1,no,36,tertiary,no,0,1,management,married,yes,no
5,no,43,secondary,no,0,2,technician,married,no,yes
2,no,58,primary,no,3401,3,retired,married,yes,no
2,no,58,tertiary,no,883,1,technician,married,no,no
3,no,40,secondary,no,0,1,services,married,yes,no
1,no,35,tertiary,no,11219,2,housemaid,married,no,no
6,yes,34,tertiary,no,69,3,admin.,married,no,yes
5,no,65,primary,no,1840,2,retired,divorced,no,no
1,no,49,secondary,no,8545,7,blue-collar,married,yes,yes
2,yes,25,tertiary,no,760,3,admin.,single,yes,no
2,yes,35,secondary,no,2971,4,entrepreneur,married,no,no
1,yes,38,tertiary,no,1199,1,management,married,no,no
1,no,33,secondary,no,6699,1,technician,married,no,no
3,yes,35,secondary,no,978,3,unemployed,married,no,no
3,no,29,tertiary,no,828,3,technician,single,yes,no
5,no,33,tertiary,no,1410,1,management,single,yes,no
1,no,63,primary,no,1084,1,retired,married,no,no
1,no,41,tertiary,no,832,1,management,married,yes,yes
1,no,36,secondary,no,219,2,blue-collar,single,yes,yes
2,yes,55,primary,no,2587,2,management,married,no,no
1,no,47,tertiary,no,2303,2,self-employed,married,yes,no
2,no,50,tertiary,no,4,1,management,married,no,no
4,no,29,tertiary,no,318,2,management,married,yes,no
2,no,32,tertiary,no,8436,1,management,single,yes,no
1,no,30,secondary,no,946,1,entrepreneur,married,yes,no
4,no,42,secondary,no,-396,1,admin.,married,yes,no
9,no,30,secondary,no,0,6,services,single,yes,no
4,yes,37,tertiary,no,393,3,management,married,yes,no
1,no,39,secondary,no,0,1,blue-collar,married,yes,no
4,no,37,secondary,no,1328,2,services,married,yes,no
1,no,33,tertiary,no,1240,2,management,single,yes,no
2,no,33,secondary,no,43,2,blue-collar,married,yes,no
1,no,37,tertiary,no,6101,5,technician,single,no,no
1,no,44,secondary,no,438,3,management,married,yes,no
2,yes,54,secondary,no,0,1,admin.,married,no,no
1,yes,75,tertiary,no,3810,1,retired,divorced,yes,no
1,no,37,tertiary,no,502,1,management,married,yes,no
2,no,37,tertiary,no,876,4,management,single,yes,no
3,no,43,secondary,no,130,1,blue-collar,married,no,no
4,no,27,secondary,no,619,5,admin.,single,yes,no
2,no,43,tertiary,no,36,1,management,divorced,no,no
5,yes,32,secondary,no,889,1,blue-collar,married,yes,no
4,no,59,secondary,no,0,1,housemaid,married,no,no
2,yes,77,tertiary,no,7802,1,retired,married,no,no
5,no,40,secondary,no,694,4,technician,married,yes,no
2,yes,53,secondary,no,1796,1,admin.,married,no,no
1,no,50,secondary,no,7317,1,housemaid,married,yes,no
1,no,32,tertiary,no,12607,5,management,single,no,no
2,no,38,secondary,no,121,1,blue-collar,married,yes,yes
5,yes,52,secondary,no,195,1,technician,married,yes,no
4,no,45,primary,no,757,1,unemployed,divorced,no,no
2,no,34,tertiary,no,902,1,management,married,yes,no
2,no,61,secondary,no,5207,1,retired,married,no,no
4,no,43,secondary,no,738,4,admin.,divorced,yes,no
2,no,43,primary,no,2567,1,services,married,yes,no
4,yes,47,secondary,no,3696,2,admin.,single,no,no
3,no,34,secondary,no,-228,3,technician,married,yes,no
1,no,63,secondary,no,2747,1,retired,married,no,no
7,no,37,secondary,no,1314,2,admin.,married,yes,no
1,no,50,secondary,no,2497,1,technician,married,yes,no
1,no,40,secondary,no,56,1,technician,married,yes,yes
1,no,53,tertiary,no,1319,1,management,married,yes,no
2,no,49,secondary,no,171,3,blue-collar,married,no,no
8,no,33,tertiary,no,696,1,technician,single,no,yes
1,no,47,primary,no,201,2,housemaid,married,yes,no
2,no,60,unknown,no,-49,1,retired,divorced,yes,no
4,no,50,primary,no,12519,2,blue-collar,married,yes,no
1,no,39,tertiary,no,1161,1,technician,married,yes,no
4,yes,35,tertiary,no,7050,3,technician,married,no,no
3,no,40,tertiary,no,1509,1,management,single,no,no
2,no,59,tertiary,no,2764,1,management,married,no,no
3,no,33,tertiary,no,8023,1,technician,married,no,no
2,no,46,tertiary,no,6269,3,management,divorced,yes,no
3,no,60,primary,no,252,2,management,married,yes,yes
2,no,33,tertiary,no,23663,2,housemaid,single,yes,no
3,no,27,tertiary,no,81,1,entrepreneur,single,no,no
1,no,64,primary,no,43,1,retired,married,no,no
1,no,47,secondary,no,57,1,technician,married,no,no
1,no,36,secondary,no,666,1,technician,divorced,yes,yes
3,no,53,primary,no,1034,2,entrepreneur,married,yes,no
8,no,54,secondary,no,0,1,technician,married,no,no
1,no,55,primary,no,621,1,management,married,no,yes
1,no,44,secondary,no,310,1,technician,married,yes,no
1,no,32,unknown,no,73,1,entrepreneur,married,yes,no
2,no,37,secondary,no,64,4,technician,married,yes,no
2,yes,28,secondary,no,168,3,services,single,no,no
8,no,46,secondary,no,1550,2,services,married,yes,no
4,no,35,tertiary,no,0,1,entrepreneur,married,no,no
3,no,25,secondary,no,1790,1,student,single,no,no
4,no,40,secondary,no,498,2,blue-collar,married,yes,no
8,no,26,secondary,no,455,1,technician,single,no,no
9,no,31,tertiary,no,1010,3,management,married,yes,no
8,no,48,primary,no,1092,1,blue-collar,married,no,yes
1,no,36,secondary,no,1855,1,technician,single,yes,no
1,no,46,secondary,no,0,1,services,married,yes,no
8,no,28,secondary,no,0,2,services,married,yes,no
